,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
916,Litterial Green,Not Inducted,1992,52,12.0,4.5,1.7,3.8,43.9,0.0,0.2,10.0,1.2,1.8,62.5,0.2,0.4,0.7,2.2,0.4,0.1,0.8,4.3
917,Lloyd Daniels,Not Inducted,1992,77,20.4,9.1,3.7,8.4,44.3,0.8,2.3,33.3,0.9,1.3,72.7,1.1,1.7,2.8,1.9,0.5,0.4,1.3,8.4
918,Lonny Baxter,Not Inducted,2002,55,12.4,4.8,1.7,3.7,46.6,0.0,0.0,0.0,1.3,1.9,68.0,1.2,1.8,3.0,0.3,0.2,0.4,0.8,5.2
919,Loren Meyer,Not Inducted,1995,72,17.6,5.0,2.0,4.6,43.9,0.0,0.2,27.3,1.0,1.4,68.6,1.6,2.8,4.4,0.8,0.3,0.4,0.9,7.0
920,Loren Woods,Not Inducted,2001,60,8.6,1.8,0.6,1.6,34.4,0.0,0.0,0.0,0.7,1.0,73.3,0.8,1.3,2.0,0.4,0.3,0.6,0.6,3.2
921,Lorenzen Wright,Not Inducted,1996,77,25.1,7.3,3.1,6.4,48.1,0.0,0.1,25.0,1.1,1.9,58.7,2.7,3.4,6.1,0.6,0.6,0.8,1.0,10.3
922,Lorenzo Charles,Not Inducted,1985,36,7.6,3.4,1.4,2.4,55.7,0.0,0.0,0.0,0.7,1.0,66.7,0.4,0.7,1.1,0.2,0.1,0.2,0.5,3.0
923,Lorenzo Romar,Not Inducted,1980,53,13.7,4.1,1.6,4.0,41.2,0.0,0.1,33.3,0.8,1.2,68.3,0.2,0.9,1.1,2.6,0.5,0.1,1.0,4.6
924,Lorenzo Williams,Not Inducted,1992,27,6.6,1.3,0.6,1.3,47.2,0.0,0.0,0.0,0.1,0.3,28.6,0.6,1.4,2.0,0.2,0.2,0.6,0.3,3.2
925,Lou Roe,Not Inducted,1995,49,7.6,1.8,0.7,1.8,35.6,0.0,0.2,22.2,0.5,0.7,75.0,0.6,1.0,1.6,0.3,0.2,0.2,0.3,2.4
926,Louis Orr,Not Inducted,1980,82,21.8,10.5,4.2,8.6,49.1,0.0,0.1,0.0,2.0,2.5,80.7,2.1,2.3,4.4,1.6,0.7,0.3,1.5,11.1
927,Lowes Moore,Not Inducted,1980,71,19.8,7.0,3.0,6.7,44.4,0.1,0.4,14.8,1.0,1.3,75.0,0.6,1.8,2.4,3.2,0.9,0.2,1.5,8.1
928,Loy Vaught,Not Inducted,1990,73,16.1,5.5,2.4,4.9,48.7,0.0,0.0,0.0,0.7,1.0,66.2,1.7,3.1,4.8,0.5,0.3,0.3,0.7,7.8
929,Luc Longley,Not Inducted,1991,66,15.0,4.3,1.7,3.8,45.8,0.0,0.0,0.0,0.8,1.2,66.3,1.0,2.9,3.9,0.8,0.5,1.0,1.3,6.7
930,Luc Mbah a Moute,Not Inducted,2008,82,25.8,7.2,2.8,6.0,46.2,0.0,0.0,0.0,1.7,2.3,72.9,2.3,3.6,5.9,1.1,1.1,0.6,1.2,10.8
931,Lucious Harris,Not Inducted,1993,77,15.1,5.4,2.1,5.0,42.1,0.1,0.4,21.2,1.1,1.5,73.1,0.6,1.5,2.0,1.4,0.6,0.1,1.0,5.3
932,Luis Flores,Not Inducted,2004,16,4.8,2.2,0.9,1.8,48.3,0.3,0.6,50.0,0.1,0.1,100.0,0.1,0.1,0.2,0.7,0.1,0.0,0.7,1.6
933,Luis Scola,Not Inducted,2007,82,24.7,10.3,4.2,8.2,51.5,0.0,0.0,0.0,1.9,2.9,66.8,2.1,4.3,6.4,1.3,0.7,0.2,1.3,12.8
934,Luke Harangody,Not Inducted,2010,49,13.1,3.9,1.6,4.2,38.3,0.3,1.3,24.2,0.4,0.5,73.1,0.8,2.1,2.9,0.6,0.3,0.3,0.3,5.1
935,Luke Ridnour,Not Inducted,2003,69,16.1,5.5,2.1,5.1,41.4,0.4,1.2,33.8,0.9,1.1,82.3,0.5,1.1,1.6,2.4,0.8,0.1,1.2,6.0
936,Luke Walton,Not Inducted,2003,72,10.1,2.4,0.9,2.1,42.5,0.2,0.5,33.3,0.4,0.6,70.5,0.5,1.2,1.8,1.6,0.4,0.1,0.6,4.2
937,Luol Deng,Not Inducted,2004,61,27.3,11.7,4.6,10.6,43.4,0.5,1.9,26.5,2.0,2.7,74.1,1.5,3.8,5.3,2.2,0.8,0.4,1.9,11.8
938,Luther Head,Not Inducted,2005,80,28.9,8.8,3.2,7.9,40.3,1.4,3.9,36.1,1.1,1.5,69.9,0.4,2.9,3.3,2.7,1.1,0.1,1.5,9.4
939,Lynn Greer,Not Inducted,2006,41,10.5,4.1,1.5,3.4,43.3,0.4,1.3,34.6,0.7,0.8,84.4,0.0,0.6,0.7,1.3,0.4,0.0,0.4,4.0
940,Maalik Wayns,Not Inducted,2012,27,7.5,2.8,1.0,3.3,29.5,0.3,1.1,22.6,0.6,0.7,89.5,0.0,0.2,0.3,1.0,0.2,0.0,0.6,1.4
941,Maciej Lampe,Not Inducted,2003,21,10.7,4.6,2.0,4.2,48.9,0.0,0.2,0.0,0.5,0.6,76.9,0.4,1.7,2.1,0.4,0.1,0.1,0.7,4.4
942,Mahmoud Abdul-Rauf,Not Inducted,1990,67,22.5,14.1,6.2,15.1,41.3,0.4,1.5,24.0,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,9.1
943,Malcolm Brogdon,Not Inducted,2016,32,22.9,8.3,3.2,6.9,46.2,0.9,2.1,44.1,0.9,1.1,85.7,0.4,2.1,2.5,3.6,1.0,0.1,1.5,10.1
944,Malcolm Delaney,Not Inducted,2016,33,16.4,5.3,2.0,5.3,37.1,0.2,1.4,17.4,1.1,1.3,86.0,0.2,1.5,1.6,2.8,0.4,0.0,1.5,5.1
945,Malcolm Lee,Not Inducted,2011,19,12.8,3.3,1.2,3.1,39.0,0.1,0.5,20.0,0.7,0.9,82.4,0.5,0.9,1.4,1.6,0.4,0.2,0.9,3.9
946,Malik Rose,Not Inducted,1996,54,9.7,3.0,1.1,2.4,47.7,0.0,0.0,0.0,0.7,1.1,61.3,1.3,1.7,3.0,0.6,0.5,0.3,0.8,5.0
947,Malik Sealy,Not Inducted,1992,58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1.9,0.8,0.6,0.1,1.0,4.6
948,Manny Harris,Not Inducted,2010,54,17.3,5.9,2.0,5.4,37.4,0.6,1.7,37.0,1.3,1.7,76.3,0.7,1.9,2.6,1.6,0.6,0.1,1.2,5.9
949,Manu Ginobili,Not Inducted,2002,69,20.7,7.6,2.5,5.8,43.8,0.7,2.1,34.5,1.8,2.5,73.7,0.7,1.7,2.3,2.0,1.4,0.3,1.4,8.2
950,Manute Bol,Not Inducted,1985,80,26.1,3.7,1.6,3.5,46.0,0.0,0.0,0.0,0.5,1.1,48.8,1.5,4.4,6.0,0.3,0.3,5.0,0.8,12.1
951,Marc Gasol,Not Inducted,2008,82,30.7,11.9,4.3,8.1,53.0,0.0,0.0,0.0,3.4,4.6,73.3,2.5,4.9,7.4,1.7,0.8,1.1,2.0,15.9
952,Marc Iavaroni,Not Inducted,1982,80,20.2,5.1,2.0,4.4,46.2,0.0,0.0,0.0,1.0,1.4,69.0,1.5,2.7,4.1,1.0,0.4,0.6,1.7,6.7
953,Marc Jackson,Not Inducted,2000,48,29.4,13.2,4.9,10.6,46.7,0.1,0.5,21.7,3.2,4.0,80.2,2.5,5.0,7.5,1.2,0.7,0.6,1.9,14.8
954,Marcelo Huertas,Not Inducted,2015,53,16.4,4.5,1.8,4.3,42.2,0.3,1.2,26.2,0.5,0.5,93.1,0.3,1.4,1.7,3.4,0.5,0.1,1.5,6.2
955,Marcus Banks,Not Inducted,2003,81,17.1,5.9,2.2,5.5,40.0,0.3,1.1,31.4,1.2,1.6,75.6,0.4,1.3,1.6,2.2,1.1,0.2,1.5,5.8
956,Marcus Camby,Not Inducted,1996,63,30.1,14.8,6.0,12.3,48.2,0.0,0.2,14.3,2.9,4.2,69.3,2.1,4.2,6.3,1.5,1.1,2.1,2.1,15.9
957,Marcus Fizer,Not Inducted,2000,72,21.9,9.5,3.9,9.0,43.0,0.1,0.5,25.6,1.6,2.2,72.7,1.1,3.3,4.3,1.1,0.4,0.3,1.7,8.1
958,Marcus Haislip,Not Inducted,2002,39,11.3,4.1,1.7,3.9,43.1,0.1,0.3,25.0,0.7,1.0,68.4,0.5,0.8,1.4,0.2,0.2,0.5,0.5,3.3
959,Marcus Landry,Not Inducted,2009,18,6.2,2.4,0.9,2.4,37.2,0.5,1.6,32.1,0.2,0.3,60.0,0.3,0.8,1.1,0.0,0.1,0.1,0.3,1.7
960,Marcus Liberty,Not Inducted,1990,76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.8,0.6,0.3,0.9,6.0
961,Marcus Smart,Not Inducted,2014,67,27.0,7.8,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,0.9,2.4,3.3,3.1,1.5,0.3,1.3,9.4
962,Marcus Thornton,Not Inducted,2009,73,25.6,14.5,5.5,12.1,45.1,1.6,4.3,37.4,2.0,2.4,81.4,1.0,1.9,2.9,1.6,0.8,0.1,1.0,11.7
963,Marcus Williams,Not Inducted,2006,79,16.6,6.8,2.6,6.7,39.5,0.6,2.1,28.2,0.9,1.1,84.7,0.4,1.7,2.1,3.3,0.4,0.0,1.8,6.5
964,Mardy Collins,Not Inducted,2006,52,14.9,4.5,1.7,4.4,38.2,0.3,0.9,27.7,0.9,1.6,58.5,0.5,1.5,2.0,1.6,0.6,0.1,1.1,4.3
965,Mario Chalmers,Not Inducted,2008,82,32.0,10.0,3.4,8.1,42.0,1.4,3.8,36.7,1.8,2.4,76.7,0.5,2.3,2.8,4.9,1.9,0.1,2.0,12.5
966,Mario Elie,Not Inducted,1990,33,19.5,7.2,2.4,4.8,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,9.0
967,Mario Hezonja,Not Inducted,2015,79,17.9,6.1,2.3,5.3,43.3,0.8,2.4,34.9,0.6,0.7,90.7,0.4,1.9,2.2,1.4,0.5,0.2,1.2,6.1
968,Mario Kasun,Not Inducted,2004,45,7.9,2.6,1.0,2.2,48.0,0.0,0.0,0.0,0.5,1.0,55.8,1.2,1.7,2.8,0.2,0.2,0.3,0.6,4.0
969,Mario West,Not Inducted,2007,64,4.2,0.9,0.3,0.8,42.9,0.0,0.1,0.0,0.3,0.4,65.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,1.4
970,Mark Acres,Not Inducted,1987,79,14.6,3.6,1.4,2.6,53.2,0.0,0.0,0.0,0.9,1.4,64.0,1.3,2.1,3.4,0.5,0.4,0.3,0.7,5.9
971,Mark Aguirre,Not Inducted,1981,51,28.8,18.7,7.5,16.1,46.5,0.5,1.4,35.2,3.3,4.8,68.0,1.7,3.1,4.9,3.2,0.7,0.4,2.6,15.2
972,Mark Alarie,Not Inducted,1986,64,17.3,7.9,3.4,6.9,49.0,0.0,0.1,22.2,1.0,1.6,66.3,1.1,2.2,3.3,1.2,0.3,0.4,0.9,8.2
973,Mark Blount,Not Inducted,2000,64,17.2,3.9,1.6,3.1,50.5,0.0,0.0,0.0,0.7,1.0,69.7,1.5,2.1,3.6,0.5,0.6,1.2,1.0,7.0
974,Mark Bradtke,Not Inducted,1996,36,7.0,1.6,0.7,1.6,43.1,0.0,0.0,0.0,0.3,0.4,69.2,0.7,1.2,1.9,0.2,0.1,0.1,0.3,2.7
975,Mark Bryant,Not Inducted,1988,56,14.3,5.0,2.1,4.4,48.6,0.0,0.0,0.0,0.7,1.2,58.0,1.2,2.0,3.2,0.6,0.4,0.1,0.7,5.8
976,Mark Davis,Not Inducted,1988,33,7.8,3.8,1.5,3.1,48.0,0.0,0.3,10.0,0.8,1.0,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,3.8
977,Mark Davis,Not Inducted,1995,57,10.0,3.3,1.0,2.6,36.9,0.1,0.2,30.8,1.3,2.0,63.8,1.0,1.2,2.2,0.8,0.7,0.4,1.2,3.8
978,Mark Eaton,Not Inducted,1982,81,18.9,4.3,1.8,4.4,41.4,0.0,0.0,0.0,0.7,1.1,65.6,1.1,4.6,5.7,1.4,0.3,3.4,1.7,10.4
979,Mark Jackson,Not Inducted,1987,82,39.6,13.6,5.3,12.4,43.2,0.4,1.5,25.4,2.5,3.2,77.4,1.5,3.4,4.8,10.6,2.5,0.1,3.1,20.7
980,Mark Macon,Not Inducted,1991,76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,2.9,2.2,2.0,0.2,2.0,7.9
981,Mark Madsen,Not Inducted,2000,70,9.2,2.0,0.8,1.6,48.7,0.0,0.0,100.0,0.4,0.5,70.3,1.1,1.1,2.2,0.3,0.1,0.1,0.4,3.3
982,Mark McNamara,Not Inducted,1982,36,5.1,2.2,0.8,1.8,45.3,0.0,0.0,0.0,0.6,1.3,44.4,0.9,1.2,2.1,0.2,0.1,0.1,1.0,2.0
983,Mark Price,Not Inducted,1986,67,18.2,6.9,2.6,6.3,40.8,0.3,1.0,32.9,1.4,1.7,83.3,0.5,1.3,1.7,3.0,0.6,0.1,1.6,6.8
984,Mark Radford,Not Inducted,1981,43,8.6,3.4,1.3,2.3,54.0,0.0,0.1,66.7,0.8,1.6,50.7,0.3,0.4,0.7,1.3,0.4,0.1,1.0,3.0
985,Mark Randall,Not Inducted,1991,54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,3.2
986,Markel Brown,Not Inducted,2014,47,16.6,4.6,1.6,4.5,36.2,0.4,1.4,26.6,1.0,1.2,82.5,0.3,1.9,2.3,0.8,0.7,0.3,0.6,5.0
987,Markieff Morris,Not Inducted,2011,63,19.5,7.4,2.8,6.9,39.9,0.7,2.0,34.7,1.2,1.7,71.7,1.1,3.3,4.4,1.0,0.7,0.7,1.1,8.4
988,Marko Jaric,Not Inducted,2002,66,20.9,7.4,2.7,6.8,40.1,0.8,2.5,31.9,1.2,1.6,75.2,0.5,1.9,2.4,2.9,1.5,0.2,1.6,8.4
989,Marlon Garnett,Not Inducted,1998,24,8.5,2.1,0.6,2.1,29.4,0.3,1.0,26.1,0.6,0.8,75.0,0.1,0.8,0.9,0.8,0.2,0.0,0.5,1.8
990,Marlon Maxey,Not Inducted,1992,43,12.1,5.4,2.2,3.9,55.0,0.0,0.0,0.0,1.0,1.6,64.3,1.5,2.3,3.8,0.3,0.3,0.4,0.9,6.9
991,Marques Bragg,Not Inducted,1995,53,7.0,2.5,1.0,2.3,45.0,0.0,0.0,0.0,0.4,0.8,56.1,0.7,0.8,1.5,0.2,0.3,0.1,0.5,2.5
992,Marquese Chriss,Not Inducted,2016,34,17.1,7.0,2.7,6.3,42.7,0.6,2.1,31.0,1.0,1.7,59.6,1.1,2.2,3.3,0.5,0.5,0.5,1.2,6.2
993,Marquis Daniels,Not Inducted,2003,56,18.6,8.5,3.6,7.3,49.4,0.2,0.6,30.6,1.1,1.4,76.9,1.2,1.4,2.6,2.1,0.9,0.2,0.8,9.5
994,Marquis Teague,Not Inducted,2012,48,8.2,2.1,0.9,2.4,38.1,0.1,0.5,17.4,0.2,0.3,56.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7,2.3
995,Marreese Speights,Not Inducted,2008,79,16.0,7.7,3.2,6.4,50.2,0.0,0.1,25.0,1.3,1.7,77.3,1.6,2.2,3.7,0.4,0.3,0.7,0.6,8.7
996,MarShon Brooks,Not Inducted,2011,56,29.4,12.6,4.9,11.4,42.8,0.8,2.7,31.3,2.0,2.6,76.4,1.3,2.3,3.6,2.3,0.9,0.3,2.1,10.5
997,Martell Webster,Not Inducted,2005,61,17.5,6.6,2.3,5.7,39.9,1.1,3.0,35.7,1.0,1.2,85.9,0.5,1.7,2.1,0.6,0.3,0.2,0.7,5.6
998,Martin Muursepp,Not Inducted,1996,42,8.3,3.7,1.3,3.1,41.2,0.1,0.6,16.7,1.0,1.7,62.9,0.8,0.8,1.6,0.5,0.3,0.3,0.4,3.5
999,Martin Nessley,Not Inducted,1987,44,7.6,1.1,0.5,1.2,38.5,0.0,0.0,0.0,0.2,0.4,44.4,0.5,1.3,1.9,0.4,0.2,0.3,0.5,2.3
1000,Marty Conlon,Not Inducted,1991,45,8.5,2.7,1.1,2.2,47.5,0.0,0.0,0.0,0.5,0.7,75.0,0.7,0.8,1.5,0.3,0.2,0.2,0.6,2.9
1001,Marvin Williams,Not Inducted,2005,79,24.7,8.5,3.0,6.7,44.3,0.2,0.7,24.5,2.4,3.2,74.7,1.5,3.3,4.8,0.8,0.6,0.3,1.1,9.5
1002,Mason Plumlee,Not Inducted,2013,70,18.2,7.4,2.8,4.3,65.9,0.0,0.0,0.0,1.7,2.8,62.6,1.4,3.0,4.4,0.9,0.7,0.8,1.1,10.6
1003,Mateen Cleaves,Not Inducted,2000,78,16.3,5.4,2.1,5.1,40.0,0.1,0.2,29.4,1.2,1.8,70.8,0.3,1.4,1.7,2.7,0.6,0.0,1.8,5.0
1004,Matt Barnes,Not Inducted,2003,38,19.1,4.5,1.7,3.6,45.7,0.1,0.3,15.4,1.1,1.6,70.5,1.4,2.6,4.0,1.3,0.7,0.1,1.2,6.9
1005,Matt Bonner,Not Inducted,2004,82,18.9,7.2,3.0,5.6,53.3,0.5,1.1,42.4,0.7,0.9,78.9,1.3,2.2,3.5,0.6,0.5,0.2,0.5,8.6
1006,Matt Carroll,Not Inducted,2003,16,4.4,1.2,0.4,1.0,43.8,0.1,0.2,33.3,0.3,0.4,66.7,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.7
1007,Matt Freije,Not Inducted,2004,23,19.2,4.0,1.6,5.5,29.1,0.6,2.3,25.9,0.2,0.3,62.5,0.7,2.0,2.7,0.9,0.6,0.1,0.7,3.4
1008,Matt Geiger,Not Inducted,1992,48,11.5,4.5,1.6,3.0,52.4,0.0,0.1,0.0,1.3,1.9,67.4,1.0,1.5,2.5,0.3,0.3,0.4,0.8,5.1
1009,Matt Harpring,Not Inducted,1998,50,22.3,8.2,3.0,6.4,46.3,0.2,0.5,40.0,2.0,2.9,71.3,1.8,2.5,4.3,0.9,0.6,0.1,1.5,8.3
1010,Matt Maloney,Not Inducted,1996,82,29.1,9.4,3.3,7.5,44.1,1.9,4.6,40.4,0.9,1.1,76.3,0.2,1.7,2.0,3.7,1.0,0.0,1.5,10.1
1011,Matthew Dellavedova,Not Inducted,2013,72,17.7,4.7,1.7,4.1,41.2,0.8,2.2,36.8,0.5,0.7,79.2,0.4,1.3,1.7,2.6,0.5,0.1,0.8,6.2
1012,Maurice Harkless,Not Inducted,2012,76,26.0,8.2,3.4,7.4,46.1,0.4,1.5,27.4,1.0,1.7,57.0,1.6,2.8,4.4,0.7,1.2,0.8,0.9,9.6
1013,Maurice Taylor,Not Inducted,1997,71,21.3,11.5,4.5,9.5,47.6,0.0,0.0,0.0,2.4,3.4,70.9,1.7,2.5,4.2,0.7,0.5,0.6,1.5,9.9
1014,Mehmet Okur,Not Inducted,2002,72,19.0,6.9,2.5,5.9,42.6,0.5,1.6,33.9,1.3,1.8,73.3,1.6,3.0,4.7,1.0,0.3,0.5,0.9,8.6
1015,Mel Turpin,Not Inducted,1984,79,24.7,10.6,4.6,9.0,51.1,0.0,0.0,0.0,1.4,1.8,78.4,2.0,3.8,5.7,0.5,0.5,1.1,1.5,12.1
1016,Melvin Ely,Not Inducted,2002,52,15.4,4.5,1.8,3.6,49.5,0.0,0.0,0.0,1.0,1.4,70.3,1.2,2.1,3.3,0.3,0.2,0.6,1.0,5.8
1017,Metta World Peace,Not Inducted,1999,72,31.1,12.0,4.3,10.5,40.7,0.8,2.7,31.4,2.6,3.9,67.4,0.9,3.4,4.3,2.8,1.6,0.5,2.3,11.5
1018,Meyers Leonard,Not Inducted,2012,69,17.5,5.5,2.2,4.0,54.5,0.0,0.1,42.9,1.0,1.3,80.9,1.2,2.5,3.7,0.5,0.2,0.6,0.7,7.6
1019,Michael Anderson,Not Inducted,1988,36,20.3,5.7,2.0,4.9,41.7,0.0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,2.5,4.3,1.2,0.1,2.3,7.8
1020,Michael Ansley,Not Inducted,1989,72,17.0,8.7,3.2,6.5,49.7,0.0,0.0,0.0,2.3,3.2,72.2,2.6,2.4,5.0,0.6,0.3,0.2,0.7,10.0
1021,Michael Beasley,Not Inducted,2008,81,24.8,13.9,5.6,11.8,47.2,0.4,1.0,40.7,2.3,3.0,77.2,1.4,4.1,5.4,1.0,0.5,0.5,1.5,12.9
1022,Michael Brooks,Not Inducted,1980,82,30.2,14.7,6.0,12.4,47.9,0.0,0.1,0.0,2.8,3.9,70.6,2.6,2.8,5.4,2.5,1.2,0.4,2.0,14.6
1023,Michael Cage,Not Inducted,1984,75,21.5,7.1,2.9,5.3,54.3,0.0,0.0,0.0,1.3,1.8,73.7,1.7,3.5,5.2,0.7,0.6,0.4,1.1,10.0
1024,Michael Carter-Williams,Not Inducted,2013,70,34.5,16.7,6.1,15.1,40.5,0.8,3.0,26.4,3.7,5.2,70.3,1.4,4.8,6.2,6.3,1.9,0.6,3.5,17.6
1025,Michael Dickerson,Not Inducted,1998,50,31.2,10.9,4.3,9.2,46.5,1.4,3.3,43.3,0.9,1.4,63.9,0.5,1.1,1.7,1.9,0.5,0.2,1.3,8.5
1026,Michael Doleac,Not Inducted,1998,49,15.9,6.2,2.6,5.4,46.8,0.0,0.0,0.0,1.1,1.6,67.5,1.3,1.7,3.0,0.4,0.4,0.3,0.5,6.4
1027,Michael Finley,Not Inducted,1995,82,39.2,15.0,5.7,11.9,47.6,0.7,2.3,32.8,3.0,3.9,74.9,1.7,2.9,4.6,3.5,1.0,0.4,1.6,15.7
1028,Michael Holton,Not Inducted,1984,74,23.8,8.4,3.5,7.8,44.6,0.2,0.6,31.1,1.3,1.6,81.4,0.4,1.4,1.8,2.7,0.8,0.1,1.7,7.5
1029,Michael Jackson,Not Inducted,1987,58,13.1,2.7,1.1,2.9,37.4,0.1,0.4,24.0,0.4,0.6,71.9,0.3,0.7,1.0,3.1,0.3,0.1,1.0,4.2
1030,Michael Jordan,Hall of Fame Member,1984,82,38.3,28.2,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2.0,4.5,6.5,5.9,2.4,0.8,3.5,29.2
1031,Michael Kidd-Gilchrist,Not Inducted,2012,78,26.0,9.0,3.6,7.9,45.8,0.0,0.1,22.2,1.8,2.4,74.9,1.7,4.2,5.8,1.5,0.7,0.9,1.3,11.8
1032,Michael Olowokandi,Not Inducted,1998,45,28.4,8.9,3.8,8.9,43.1,0.0,0.0,0.0,1.3,2.6,48.3,2.7,5.3,7.9,0.6,0.6,1.2,1.9,10.9
1033,Michael Ruffin,Not Inducted,1999,71,13.7,2.2,0.8,1.9,42.0,0.0,0.0,0.0,0.6,1.2,48.9,1.6,1.9,3.5,0.6,0.4,0.4,0.8,4.5
1034,Michael Smith,Not Inducted,1994,82,21.2,6.9,2.7,5.0,54.2,0.0,0.0,0.0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,9.8
1035,Michael Smith,Not Inducted,1989,65,9.5,5.0,2.1,4.4,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,1.5,1.2,0.1,0.0,0.8,4.6
1036,Michael Stewart,Not Inducted,1997,81,21.7,4.6,1.9,4.0,48.0,0.0,0.0,0.0,0.8,1.8,45.8,2.4,4.2,6.6,0.8,0.4,2.4,1.1,10.7
1037,Michael Sweetney,Not Inducted,2003,42,11.8,4.3,1.6,3.3,49.3,0.0,0.0,0.0,1.0,1.4,72.4,1.6,2.1,3.7,0.3,0.4,0.3,0.8,6.2
1038,Micheal Williams,Not Inducted,1988,49,7.3,2.6,1.0,2.6,36.4,0.0,0.2,22.2,0.6,1.0,66.0,0.2,0.4,0.6,1.4,0.3,0.1,0.9,2.0
1039,Mickael Gelabale,Not Inducted,2006,70,17.7,4.6,1.7,3.8,46.2,0.2,0.7,23.4,0.9,1.2,80.5,0.8,1.6,2.5,0.8,0.3,0.3,0.7,5.6
1040,Mickael Pietrus,Not Inducted,2003,53,14.1,5.3,1.8,4.4,41.6,0.7,2.0,33.3,1.0,1.4,69.3,0.9,1.3,2.2,0.5,0.6,0.2,0.8,5.1
1041,Mickell Gladness,Not Inducted,2011,26,9.7,2.2,1.0,2.3,42.4,0.0,0.0,0.0,0.2,0.5,50.0,0.5,1.7,2.2,0.2,0.1,0.8,0.3,3.7
1042,Mike Batiste,Not Inducted,2002,75,16.6,6.4,2.6,6.2,42.2,0.2,1.1,22.2,0.9,1.2,78.4,1.1,2.3,3.4,0.7,0.6,0.2,0.9,6.5
1043,Mike Bibby,Not Inducted,1998,50,35.2,13.2,5.2,12.1,43.0,0.3,1.5,20.3,2.5,3.4,75.1,0.6,2.1,2.7,6.5,1.6,0.1,2.9,13.5
1044,Mike Brown,Not Inducted,1986,62,13.2,4.2,1.7,3.2,52.7,0.0,0.0,0.0,0.7,1.2,63.9,1.1,2.3,3.5,0.4,0.3,0.1,0.9,5.5
1045,Mike Conley,Not Inducted,2007,53,26.1,9.4,3.6,8.3,42.8,0.6,1.7,33.0,1.7,2.3,73.2,0.4,2.2,2.6,4.2,0.8,0.0,1.7,10.0
1046,Mike Dunleavy,Not Inducted,2002,82,15.9,5.7,2.0,5.1,40.3,0.6,1.8,34.7,1.0,1.2,78.0,0.8,1.8,2.6,1.3,0.7,0.2,1.1,6.1
1047,Mike Gminski,Not Inducted,1980,56,28.2,13.2,5.2,12.3,42.3,0.0,0.0,0.0,2.8,3.6,76.7,2.4,5.0,7.5,1.3,1.0,1.8,2.3,14.5
1048,Mike Harper,Not Inducted,1980,55,8.4,2.7,1.0,2.5,41.2,0.0,0.1,0.0,0.7,1.5,43.5,0.5,1.2,1.7,0.3,0.4,0.4,0.6,2.6
1049,Mike Iuzzolino,Not Inducted,1991,52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0.0,1.8,9.7
1050,Mike McGee,Not Inducted,1981,39,9.0,4.9,2.1,4.4,46.5,0.0,0.1,0.0,0.8,1.4,58.5,0.9,0.4,1.3,0.4,0.5,0.1,0.9,3.3
1051,Mike Miller,Not Inducted,2000,82,29.1,11.9,4.5,10.3,43.6,1.8,4.4,40.7,1.1,1.6,71.1,0.8,3.2,4.0,1.7,0.6,0.2,1.2,11.0
1052,Mike Morrison,Not Inducted,1989,36,4.3,2.0,0.6,1.9,33.8,0.1,0.2,28.6,0.7,0.8,80.0,0.2,0.4,0.6,0.3,0.1,0.0,0.6,0.9
1053,Mike Niles,Not Inducted,1980,44,5.3,2.6,1.1,3.1,34.8,0.0,0.1,50.0,0.4,0.8,45.9,0.6,0.7,1.3,0.3,0.2,0.0,0.6,1.4
1054,Mike O'Koren,Not Inducted,1980,79,31.3,11.0,4.6,9.5,48.6,0.1,0.2,27.8,1.7,2.7,63.7,2.3,3.8,6.1,3.2,1.1,0.3,1.9,14.0
1055,Mike Penberthy,Not Inducted,2000,53,16.1,5.0,1.7,4.2,41.4,1.0,2.6,39.6,0.5,0.6,90.3,0.2,1.0,1.2,1.3,0.4,0.0,0.6,4.9
